Month,Spend,Spend Growth,Cashback,Cashback %,Cashback Growth,Fee,Fee %,Fee Growth,Users,User Growth,Churn_45d,Churn Growth,ARPU,ARPU Growth,Spend_Target,Cashback_Target,CB Target %,Fee_Target,Fee Target %,Users_Target,ARPU_Target,Churn_45d_Target,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27
23-Jun,1030581.6,0%,51191.42,4.97%,0%,20853.49,2.02%,0%,7680,0.0,20.70%,0,9.38,0%,,,,,,,,,,,,,
23-Jul,1141218.92,0.10735425511187076,98363.29,8.62%,92%,22291.25,1.95%,7%,9321,0.213671875,19.60%,-5%,9.81,5%,,,,,,,,,,,,,
23-Aug,848971.99,-0.2560831448535746,48113.02,5.67%,-51%,21152.97,2.49%,-5%,9709,0.04162643493187426,47.70%,143%,7.13,-27%,,,,,,,,,,,,,
23-Sep,976562.98,0.15028880988170173,50864.69,5.21%,6%,21795.83,2.23%,3%,5763,-0.4064270264702853,30.90%,-35%,12.61,77%,,,,,,,,,,Metric,Compounded Monthly Growth Rate (%),Total 6-Month Multiplier,Total Compounded Growth (%) in 5 months
23-Oct,981214.76,0.004763420378683644,45916.08,4.68%,-10%,24190.68,2.47%,11%,6496,0.127190699288565,28.40%,-8%,10.79,-14%,,,,,,,,,,Spend,6%,1.338226,33.82%
23-Nov,1405520.86,0.43242938987179536,86546.2,6.16%,88%,30558.48,2.17%,26%,8193,0.26123768472906406,27.00%,-5%,14.29,32%,,,,,,,,,,Cashback,12%,1.762342,76.23%
23-Dec,2609041.62,0.8562809661892886,67055.01,2.57%,-23%,28848.56,1.11%,-6%,8938,0.09093128280239228,23.00%,-15%,10.73,-25%,,,,,,,,,,Fee,11%,1.685058,68.51%
24-Jan,754477.05,-0.7108221485558364,36403.84,4.83%,-46%,18599.75,2.47%,-36%,5528,-0.3815171179234728,38.80%,69%,9.95,-7%,,,,,,,,,,Users,8%,1.469328,46.93%
24-Feb,945195.49,0.2527822947033312,44770.55,4.74%,23%,34971.7,3.70%,88%,6196,0.12083936324167872,38.20%,-2%,8.87,-11%,,,,,,,,,,ARPU,10.00%,1.61051,61.05%
24-Mar,1116311.54,0.18103773432097106,48365.58,4.33%,8%,28248.43,2.53%,-19%,6456,0.04196255648805681,28.70%,-25%,8.17,-8%,,,,,,,,,,Churn_45d,-10.00%,0.59049,-40.95%
24-Apr,1133554.53,0.015446395904856443,48441.28,4.27%,0%,22803.52,2.01%,-19%,6871,0.06428128872366791,31.30%,9%,10.37,27%,,,,,,,,,,,,,
24-May,2209542.56,0.949215941115775,139636.91,6.32%,188%,48593.52,2.20%,113%,16179,1.3546790860136806,17.20%,-45%,11.63,12%,,,,,,,,,,,,,
