Month,Spend,Spend Growth,Cashback,Cashback %,Cashback Growth,Fee,Fee %,Fee Growth,Users,User Growth,Churn_45d,Churn Growth,ARPU,ARPU Growth,Spend_Target,Cashback_Target,CB Target %,Fee_Target,Fee Target %,Users_Target,ARPU_Target,Churn_45d_Target,,,,,
23-Jun,"$1,030,581.60 ",0%,"$51,191.42 ",4.97%,0%,"$20,853.49 ",2.02%,0%,7680,0,20.70%,0,$9.38 ,0%,,,,,,,,,,,,,
23-Jul,"$1,141,218.92 ",11%,"$98,363.29 ",8.62%,92%,"$22,291.25 ",1.95%,7%,9321,21%,19.60%,-5%,$9.81 ,5%,,,,,,,,,,,,,
23-Aug,"$848,971.99 ",-26%,"$48,113.02 ",5.67%,-51%,"$21,152.97 ",2.49%,-5%,9709,4%,47.70%,143%,$7.13 ,-27%,,,,,,,,,,,,,
23-Sep,"$976,562.98 ",15%,"$50,864.69 ",5.21%,6%,"$21,795.83 ",2.23%,3%,5763,-41%,30.90%,-35%,$12.61 ,77%,,,,,,,,,,Metric,Compounded Monthly Growth Rate (%),Total 6-Month Multiplier,Total Compounded Growth (%) in 5 months
23-Oct,"$981,214.76 ",0%,"$45,916.08 ",4.68%,-10%,"$24,190.68 ",2.47%,11%,6496,13%,28.40%,-8%,$10.79 ,-14%,,,,,,,,,,Spend,6%,1.338226,33.82%
23-Nov,"$1,405,520.86 ",43%,"$86,546.20 ",6.16%,88%,"$30,558.48 ",2.17%,26%,8193,26%,27.00%,-5%,$14.29 ,32%,,,,,,,,,,Cashback,12%,1.762342,76.23%
23-Dec,"$2,609,041.62 ",86%,"$67,055.01 ",2.57%,-23%,"$28,848.56 ",1.11%,-6%,8938,9%,23.00%,-15%,$10.73 ,-25%,,,,,,,,,,Fee,11%,1.685058,68.51%
24-Jan,"$754,477.05 ",-71%,"$36,403.84 ",4.83%,-46%,"$18,599.75 ",2.47%,-36%,5528,-38%,38.80%,69%,$9.95 ,-7%,,,,,,,,,,Users,8%,1.469328,46.93%
24-Feb,"$945,195.49 ",25%,"$44,770.55 ",4.74%,23%,"$34,971.70 ",3.70%,88%,6196,12%,38.20%,-2%,$8.87 ,-11%,,,,,,,,,,ARPU,10.00%,1.61051,61.05%
24-Mar,"$1,116,311.54 ",18%,"$48,365.58 ",4.33%,8%,"$28,248.43 ",2.53%,-19%,6456,4%,28.70%,-25%,$8.17 ,-8%,,,,,,,,,,Churn_45d,-10.00%,0.59049,-40.95%
