Metric,Value
Baseline August Spend,"$4,858,964.79"
Baseline September Spend,"$4,846,007.50"
VOX-Network_Partner_2 August GMV,"$1,412,043.09"
VOX-Network_Partner_2 September GMV,"$3,605,870.03"
Combined August Spend,"$6,271,007.88"
Combined September Spend,"$8,451,877.53"
,
Baseline August Users,"28,699"
Baseline September Users,"28,693"
VOX-Network_Partner_2 August Users,"11,730"
VOX-Network_Partner_2 September Users,"28,200"
Combined August Users,"40,429"
Combined September Users,"56,893"
,
VOX-Network_Partner_2 Spend Impact Aug,22.5%
VOX-Network_Partner_2 Spend Impact Sep,42.7%
VOX-Network_Partner_2 Users Impact Aug,29.0%
VOX-Network_Partner_2 Users Impact Sep,49.6%
